(['respectively', 'banks', 'reviewed', 'economist'], 'reviewed')
(['glossary', 'disseminated', 'environment', 'possibility'], 'environment')
(['investments', 'repurposed', 'hardware', 'practice'], 'practice')
(['process', 'isolation', 'urbanization', 'urban'], 'process')
(['uniting', 'infections', 'refined', 'combat'], 'refined')
(['consultation', 'forums', 'participation', 'ion'], 'ion')
(['vision', 'persons', 'mobilizing', 'disabilities'], 'vision')
(['timeframe', 'advisers', 'frequent', 'informal'], 'timeframe')
(['between', 'engaged', 'multisectoral', 'made'], 'made')
(['malawi', 'understanding', 'equatorial', 'congo'], 'understanding')
(['outputs', 'tailored', 'affordable', 'procurement'], 'outputs')
(['sector', 'leaders', 'scabies', 'traditional'], 'scabies')
(['between', 'change', 'multisectoral', 'engaged'], 'change')
(['decreased', 'keynote', 'inayatullah', 'have'], 'have')
(['ment', 'level', 'immediate', 'renewed'], 'level')
(['economist', 'already', 'consultant', 'master'], 'already')
(['solutions', 'leste', 'paraguay', 'passed'], 'solutions')
(['chemotherapy', 'least', 'build', 'dalys'], 'build')
(['accountable', 'first', 'various', 'multiple'], 'first')
(['alb', 'rwanda', 'vision', 'pakistan'], 'vision')
(['included', 'seamless', 'driver', 'cloud'], 'included')
(['tracking', 'questions', 'strengthen', 'surveillance'], 'questions')
(['implied', 'either', 'resource', 'kind'], 'resource')
(['asian', 'results', 'institute', 'kingdom'], 'results')
(['review', 'expansion', 'mobilizing', 'substantially'], 'review')
(['you', 'licence', 'creative', 'maternal'], 'maternal')
(['trematodiases', 'visceral', 'foodborne', 'they'], 'they')
(['full', 'mentioned', 'literacy', 'only'], 'literacy')
(['clients', 'force', 'convened', 'arbovirus'], 'clients')
(['undertaken', 'repurposed', 'european', 'probably'], 'european')
(['store', 'capture', 'annex', 'confidentiality'], 'annex')
(['lifestyles', 'toolkit', 'limitations', 'resolving'], 'toolkit')
(['solutions', 'rounds', 'armenia', 'passed'], 'solutions')
(['understood', 'cold', 'communicated', 'perspective'], 'cold')
(['preventive', 'visionchapter', 'insight', 'consulted'], 'preventive')
(['components', 'equality', 'rethink', 'tomorrow'], 'components')
(['openwho', 'parasitic', 'description', 'zoonoses'], 'description')
(['reach', 'governance', 'adequately', 'populations'], 'governance')
(['commercial', 'redistribute', 'purposes', 'specify'], 'specify')
(['broad', 'girls', 'mebendazole', 'adolescent'], 'broad')
(['insecticide', 'key', 'procedures', 'establishment'], 'key')
(['diverse', 'religious', 'conflict', 'target'], 'target')
(['workshop', 'protocol', 'microplanning', 'nation'], 'nation')
(['news', 'regarding', 'february', 'december'], 'regarding')
(['lack', 'begin', 'able', 'american'], 'american')
(['greater', 'approving', 'figure', 'model'], 'greater')
(['disruptions', 'crisis', 'model', 'caused'], 'model')
(['diagnostic', 'tpps', 'expectations', 'tests'], 'expectations')
(['cameroon', 'indonesia', 'ivoire', 'systems'], 'systems')
(['joining', 'founding', 'malecela', 'particular'], 'particular')
(['sequence', 'glossary', 'goals', 'para'], 'goals')
(['prioritization', 'was', 'functionality', 'inform'], 'was')
(['logical', 'cities', 'practical', 'execution'], 'cities')
(['pakistan', 'what', 'ivoire', 'chad'], 'what')
(['takes', 'saharan', 'take', 'taking'], 'saharan')
(['version', 'scale', 'protocol', 'published'], 'scale')
(['remotely', 'meeting', 'electronically', 'right'], 'meeting')
(['today', 'reference', 'committees', 'advisory'], 'today')
(['definition', 'gender', 'sociocultural', 'equality'], 'definition')
(['vol', 'deliver', 'openwho', 'arbovirus'], 'deliver')
(['antimicrobial', 'maintenance', 'trends', 'timor'], 'trends')
(['mobilizing', 'projects', 'affordability', 'disabilities'], 'projects')
(['identifying', 'economist', 'rwanda', 'pakistan'], 'identifying')
(['traditional', 'diagnostic', 'tpps', 'tpp'], 'traditional')
(['earlier', 'decrease', 'indigenous', 'standards'], 'standards')
(['epidemic', 'various', 'resolving', 'highlighting'], 'various')
(['administering', 'understanding', 'previous', 'suggests'], 'administering')
(['sections', 'rural', 'described', 'disclaimer'], 'rural')
(['timing', 'site', 'press', 'www'], 'timing')
(['work', 'preventable', 'periodic', 'outbreak'], 'work')
(['futurist', 'affairs', 'deliver', 'chief'], 'deliver')
(['sectors', 'religious', 'geographical', 'indicator'], 'indicator')
(['propose', 'adjust', 'has', 'accelerated'], 'has')
(['slow', 'increases', 'steering', 'amount'], 'steering')
(['reimbursement', 'inadequate', 'research', 'pilots'], 'research')
(['need', 'dog', 'planpage', 'passed'], 'need')
(['functions', 'processes', 'finance', 'however'], 'however')
(['resourcing', 'reflect', 'legislation', 'underlying'], 'reflect')
(['responsible', 'even', 'offer', 'trend'], 'responsible')
(['tackling', 'nationwide', 'companion', 'plan'], 'plan')
(['value', 'yaws', 'themes', 'forward'], 'yaws')
(['consulted', 'matter', 'achievability', 'transmission'], 'transmission')
(['reproductive', 'section', 'stage', 'produce'], 'reproductive')
(['according', 'framework', 'circumstances', 'required'], 'required')
(['expertise', 'joined', 'assembly', 'kigali'], 'expertise')
(['suggested', 'specialized', 'representatives', 'chws'], 'suggested')
(['implementing', 'practical', 'detailed', 'practitioners'], 'practitioners')
(['reflects', 'ipti', 'promotes', 'empowerment'], 'reflects')
(['unable', 'has', 'crises', 'successfully'], 'has')
(['initially', 'assistance', 'insurance', 'expert'], 'insurance')
(['relation', 'offer', 'decrease', 'leadership'], 'leadership')
(['chemotherapy', 'probably', 'require', 'begin'], 'chemotherapy')
(['women', 'deworming', 'should', 'adolescent'], 'should')
(['resolving', 'epidemic', 'ehealth', 'highlighting'], 'ehealth')
(['recommendations', 'assigned', 'box', 'society'], 'society')
(['recap', 'particular', 'publishing', 'dog'], 'particular')
(['electronic', 'trachoma', 'data', 'records'], 'trachoma')
(['state', 'regional', 'doses', 'exists'], 'doses')
(['achievability', 'input', 'some', 'insight'], 'some')
(['population', 'validate', 'methodology', 'preparation'], 'population')
(['action', 'specialties', 'nurses', 'researchers'], 'action')
(['must', 'requires', 'trypanosomiasis', 'ensures'], 'trypanosomiasis')
(['efficiency', 'technological', 'provided', 'citizens'], 'provided')
(['equatorial', 'scale', 'uganda', 'congo'], 'scale')
(['nationwide', 'armenia', 'croatia', 'identify'], 'identify')
(['like', 'around', 'way', 'missed'], 'missed')
(['delivery', 'forecast', 'think', 'creates'], 'delivery')
(['top', 'forum', 'futures', 'shaping'], 'top')
(['functions', 'oversight', 'synergies', 'her'], 'her')
(['records', 'ehrs', 'impact', 'registries'], 'impact')
(['tests', 'diagnostic', 'treatment', 'organization'], 'organization')
(['sections', 'security', 'evaluated', 'exploration'], 'security')
(['ensures', 'must', 'india', 'requires'], 'india')
(['org', 'apps', 'take', 'iris'], 'take')
(['heal', 'systems', 'sequence', 'outline'], 'systems')
(['recommended', 'financing', 'after', 'triggered'], 'financing')
(['apps', 'www', 'int', 'questions'], 'questions')
(['qualitative', 'below', 'versus', 'control'], 'control')
(['promising', 'also', 'putting', 'secured'], 'also')
(['speaker', 'economist', 'para', 'identifying'], 'identifying')
(['their', 'injuries', 'expansion', 'uniting'], 'their')
(['indicate', 'reviewed', 'geographical', 'remains'], 'reviewed')
(['mail', 'devices', 'ould', 'vector'], 'vector')
(['disabilities', 'part', 'enabled', 'living'], 'part')
(['options', 'john', 'manila', 'europe'], 'options')
(['positioned', 'here', 'outcomes', 'choices'], 'outcomes')
(['april', 'steps', 'outbreak', 'arboviral'], 'steps')
(['ehrs', 'records', 'focus', 'referrals'], 'focus')
(['developing', 'kong', 'editor', 'hong'], 'developing')
(['including', 'spectrum', 'collective', 'faced'], 'including')
(['relationships', 'establishing', 'evolving', 'interact'], 'establishing')
(['roadmap', 'monitoring', 'zealand', 'gen'], 'monitoring')
(['translate', 'duration', 'sale', 'int'], 'duration')
(['outputs', 'child', 'aesi', 'reproductive'], 'outputs')
(['themes', 'continuing', 'administrators', 'raising'], 'themes')
(['tpps', 'system', 'diagnostic', 'tests'], 'system')
(['round', 'exchange', 'share', 'capture'], 'round')
(['authentication', 'portal', 'distance', 'stakeholders'], 'stakeholders')
(['arboviral', 'around', 'shape', 'expected'], 'arboviral')
(['reuse', 'uhc', 'permission', 'copyright'], 'uhc')
(['workflow', 'para', 'countries', 'behaviour'], 'countries')
(['recovery', 'imperative', 'limit', 'group'], 'group')
(['chains', 'administering', 'treatments', 'communicate'], 'communicate')
(['ehrs', 'dimensions', 'improvements', 'inequalities'], 'ehrs')
(['ntds', 'sth', 'national', 'wash'], 'national')
(['incidence', 'provider', 'tackling', 'resumed'], 'provider')
(['citation', 'identifiers', 'hospital', 'continuity'], 'citation')
(['marketplace', 'industry', 'three', 'agencies'], 'three')
(['malawi', 'congo', 'tangible', 'equatorial'], 'tangible')
(['demand', 'item', 'included', 'advisory'], 'demand')
(['outreach', 'actual', 'causes', 'corrective'], 'outreach')
(['www', 'int', 'above', 'apps'], 'above')
(['ehealth', 'telemedecine', 'vol', 'progressive'], 'ehealth')
(['reflecting', 'accelerated', 'anticipate', 'knowledge'], 'knowledge')
(['political', 'gather', 'leaders', 'leprosy'], 'leprosy')
(['will', 'animal', 'should', 'would'], 'animal')
(['envenoming', 'helps', 'november', 'december'], 'helps')
(['determine', 'uniting', 'infectious', 'malaria'], 'determine')
(['american', 'inter', 'questions', 'villagereach'], 'questions')
(['assembly', 'woah', 'organisation', 'consider'], 'consider')
(['own', 'proprietary', 'omissions', 'excepted'], 'own')
(['west', 'those', 'manila', 'joined'], 'those')
(['ultra', 'ultrasonography', 'reflects', 'rifampicin'], 'reflects')
(['purchasing', 'intensification', 'cpie', 'member'], 'member')
(['compliance', 'processes', 'shifts', 'templates'], 'shifts')
(['africa', 'focuses', 'saharan', 'rural'], 'focuses')
(['each', 'professionals', 'sequencing', 'reaching'], 'professionals')
(['standards', 'foundations', 'equivalent', 'policies'], 'equivalent')
(['possible', 'sanitation', 'animal', 'hygiene'], 'possible')
(['registry', 'considered', 'pregnant', 'peripheral'], 'considered')
(['lifestyles', 'deloitte', 'shifts', 'demographic'], 'deloitte')
(['immunization', 'informed', 'timely', 'person'], 'immunization')
(['refined', 'preferred', 'ngos', 'steps'], 'ngos')
(['consultative', 'vectors', 'bring', 'application'], 'application')
(['start', 'interests', 'understand', 'vaccine'], 'vaccine')
(['child', 'should', 'focuses', 'ensures'], 'child')
(['accelerating', 'workshop', 'yemen', 'ensure'], 'ensure')
(['action', 'chikungunya', 'speaker', 'para'], 'action')
(['past', 'their', 'collaborations', 'years'], 'their')
(['costing', 'trainers', 'heal', 'would'], 'would')
(['businesses', 'specific', 'underlying', 'leveraging'], 'specific')
(['senior', 'ngos', 'identified', 'nongovernmental'], 'identified')
(['associated', 'align', 'producing', 'medical'], 'medical')
(['others', 'standardization', 'disseminate', 'affordability'], 'others')
(['sample', 'populations', 'figure', 'linking'], 'populations')
(['refines', 'reviews', 'products', 'validate'], 'products')
(['banks', 'activities', 'economist', 'respectively'], 'activities')
(['hong', 'activity', 'kong', 'editor'], 'activity')
(['dominican', 'professor', 'exist', 'inayatullah'], 'exist')
(['learning', 'among', 'cloud', 'disseminate'], 'among')
(['loss', 'developing', 'independent', 'degree'], 'developing')
(['subject', 'faced', 'projected', 'mitigating'], 'subject')
(['core', 'ivermectin', 'treated', 'remaining'], 'core')
(['used', 'pharmaceutical', 'achievements', 'parenthood'], 'used')
(['expected', 'paho', 'possible', 'likely'], 'paho')
(['those', 'glossary', 'intellectual', 'economist'], 'those')
(['lifestyles', 'shifts', 'september', 'demographic'], 'september')
(['fgs', 'life', 'week', 'link'], 'link')
(['typically', 'aefi', 'vpd', 'detection'], 'typically')
(['inequality', 'forces', 'disseminated', 'constraints'], 'constraints')
(['need', 'death', 'chikungunya', 'vol'], 'need')
(['nip', 'your', 'confirming', 'selecting'], 'nip')
(['national', 'secured', 'putting', 'promising'], 'national')
(['iran', 'honduras', 'mali', 'can'], 'can')
(['organizations', 'unconstrained', 'consists', 'refines'], 'organizations')
(['website', 'classification', 'pharmaceutical', 'them'], 'them')
(['economy', 'paradigm', 'served', 'rationale'], 'rationale')
(['resolutions', 'inequality', 'indicate', 'support'], 'support')
(['taeniasis', 'echinococcosis', 'schistosomiasis', 'terms'], 'terms')
(['consumer', 'patient', 'three', 'client'], 'three')
(['timeframe', 'documentation', 'academic', 'market'], 'timeframe')
(['protect', 'digitally', 'researchers', 'having'], 'having')
(['response', 'informed', 'timely', 'person'], 'response')
(['past', 'ever', 'bodies', 'democratic'], 'bodies')
(['alerts', 'objectives', 'cce', 'monitors'], 'objectives')
(['rather', 'apps', 'iris', 'org'], 'rather')
(['quarter', 'passed', 'design', 'croatia'], 'design')
(['pakistan', 'them', 'iran', 'ethiopia'], 'them')
(['requires', 'day', 'must', 'ensures'], 'day')
(['stored', 'leveraged', 'required', 'assessed'], 'required')
(['integrated', 'framework', 'sales', 'strategies'], 'sales')
(['identifiers', 'healthcare', 'were', 'administrators'], 'were')
(['schemes', 'domestic', 'since', 'pilots'], 'since')
(['sample', 'sanitation', 'exhaustive', 'above'], 'sanitation')
(['delivered', 'idb', 'bank', 'american'], 'delivered')
(['sudan', 'regulatory', 'accreditation', 'frameworks'], 'sudan')
(['subject', 'expert', 'matter', 'efficient'], 'efficient')
(['urbanization', 'lifestyles', 'demographic', 'guide'], 'guide')
(['these', 'uniting', 'launch', 'declaration'], 'these')
(['confidentiality', 'midwives', 'citation', 'researchers'], 'citation')
(['toolbox', 'workforce', 'delayed', 'consultative'], 'workforce')
(['practical', 'seeks', 'microplanning', 'expectations'], 'expectations')
(['should', 'lymphatic', 'onchocerciasis', 'trachoma'], 'should')
(['glucose', 'establishing', 'her', 'akeyo'], 'establishing')
(['ntds', 'seamless', 'cloud', 'driver'], 'ntds')
(['elements', 'component', 'linking', 'special'], 'special')
(['estimation', 'down', 'towards', 'top'], 'towards')
(['caused', 'define', 'proportion', 'transport'], 'define')
(['specify', 'tests', 'production', 'broader'], 'broader')
(['permitted', 'capabilities', 'imply', 'nature'], 'capabilities')
(['substantially', 'stakeholders', 'expansion', 'mobilizing'], 'stakeholders')
(['right', 'convened', 'arbovirus', 'force'], 'right')
(['steps', 'clinics', 'populations', 'numbers'], 'steps')
(['dog', 'rabies', 'envenoming', 'above'], 'above')
(['requirements', 'ius', 'rwanda', 'toolbox'], 'requirements')
(['disseminated', 'steps', 'forces', 'inequality'], 'steps')
(['academic', 'curricula', 'phase', 'universities'], 'phase')
(['infrastructure', 'held', 'right', 'becomes'], 'held')
(['integrity', 'described', 'protect', 'privacy'], 'described')
(['establishing', 'patients', 'overview', 'visionchapter'], 'patients')
(['risks', 'ethiopia', 'congo', 'equatorial'], 'risks')
(['religious', 'actors', 'funders', 'seeks'], 'seeks')
(['involving', 'used', 'resolve', 'pillars'], 'used')
(['confirming', 'frequent', 'systems', 'influencers'], 'systems')
(['designations', 'presentation', 'aterial', 'applications'], 'applications')
(['last', 'validated', 'severely', 'policies'], 'policies')
(['uganda', 'rwanda', 'equatorial', 'outcomes'], 'outcomes')
(['characterized', 'many', 'visual', 'perform'], 'many')
(['visionchapter', 'overview', 'clients', 'establishing'], 'clients')
(['sanitation', 'reuse', 'copyright', 'holder'], 'sanitation')
(['analytics', 'big', 'vision', 'standardization'], 'vision')
(['virus', 'step', 'trematodiases', 'foodborne'], 'step')
(['para', 'speaker', 'approach', 'chikungunya'], 'approach')
(['delimitation', 'dashed', 'services', 'dotted'], 'services')
(['cases', 'put', 'comprehensive', 'creating'], 'cases')
(['chapter', 'managers', 'healthcare', 'identifiers'], 'chapter')
(['privacy', 'software', 'directed', 'ethical'], 'directed')
(['determining', 'reproductive', 'aesi', 'child'], 'determining')
(['alerts', 'reactions', 'home', 'context'], 'context')
(['question', 'budget', 'refining', 'nations'], 'nations')
(['possible', 'force', 'arbovirus', 'convened'], 'possible')
(['glossary', 'enterprise', 'para', 'individuals'], 'individuals')
(['step', 'civil', 'terms', 'stage'], 'civil')
(['ageing', 'forces', 'define', 'death'], 'define')
(['informed', 'periodic', 'epi', 'intensification'], 'informed')
(['structured', 'cooperation', 'departments', 'state'], 'structured')
(['formal', 'advisers', 'frequent', 'existing'], 'existing')
(['vanuatu', 'participate', 'problem', 'protection'], 'protection')
(['original', 'translation', 'english', 'appropriate'], 'appropriate')
(['accelerated', 'provision', 'articulated', 'understandable'], 'provision')
(['most', 'english', 'contexts', 'efforts'], 'english')
(['paraguay', 'croatia', 'standards', 'ecuador'], 'standards')
(['even', 'definition', 'affordability', 'incremental'], 'definition')
(['committees', 'agencies', 'donors', 'much'], 'much')
(['claims', 'trends', 'obtained', 'mobilize'], 'mobilize')
(['indigenous', 'execution', 'lifestyles', 'proportion'], 'execution')
(['nepal', 'visionchapter', 'toolbox', 'districts'], 'visionchapter')
(['banks', 'expected', 'universities', 'institutions'], 'expected')
(['adverse', 'collective', 'next', 'shift'], 'adverse')
(['ehealth', 'europe', 'professor', 'pakistan'], 'ehealth')
(['looking', 'costing', 'positioned', 'shift'], 'costing')
(['professor', 'detailed', 'hong', 'university'], 'detailed')
(['reached', 'form', 'reverse', 'spread'], 'form')
(['mycetoma', 'inequities', 'have', 'coalition'], 'have')
(['innovative', 'reflect', 'internet', 'endorsement'], 'internet')
(['uneven', 'constrained', 'particular', 'amidst'], 'particular')
(['media', 'which', 'linked', 'they'], 'media')
(['focuses', 'penetration', 'comorbidities', 'degree'], 'focuses')
(['priorities', 'video', 'capture', 'audio'], 'priorities')
(['hygiene', 'refining', 'question', 'budget'], 'hygiene')
(['software', 'compliant', 'reimbursement', 'number'], 'number')
(['equatorial', 'uganda', 'broader', 'rwanda'], 'broader')
(['processes', 'rwanda', 'yemen', 'malawi'], 'processes')
(['zoonoses', 'question', 'expected', 'understand'], 'zoonoses')
(['interoperable', 'therapeutics', 'initial', 'competencies'], 'initial')
(['mentorship', 'reproductive', 'sector', 'malecela'], 'sector')
(['highlighted', 'considered', 'reflected', 'test'], 'test')
(['stronger', 'futures', 'persons', 'combined'], 'futures')
(['cameroon', 'ivoire', 'stakeholders', 'indonesia'], 'stakeholders')
(['worked', 'yes', 'how', 'extended'], 'worked')
(['assets', 'duration', 'files', 'ehrs'], 'duration')
(['occur', 'leishmaniasis', 'produce', 'typically'], 'leishmaniasis')
(['reducing', 'problems', 'assessing', 'conducting'], 'problems')
(['mebendazole', 'alb', 'they', 'therapy'], 'they')
(['telemedicine', 'incremental', 'pace', 'effect'], 'telemedicine')
(['requirementsde', 'across', 'partner', 'manual'], 'across')
(['cited', 'solely', 'results', 'infringement'], 'results')
(['determined', 'governance', 'consequently', 'substantially'], 'governance')
(['after', 'outside', 'identifiers', 'contribution'], 'after')
(['interest', 'indicator', 'measuring', 'output'], 'interest')
(['funders', 'actors', 'updated', 'religious'], 'updated')
(['highlighting', 'anticipate', 'required', 'mitigating'], 'required')
(['immunizations', 'vaccines', 'outreach', 'area'], 'area')
(['operationalize', 'maturity', 'high', 'designations'], 'designations')
(['able', 'launch', 'workshop', 'convened'], 'able')
(['unit', 'committees', 'represented', 'them'], 'them')
(['consistency', 'stronger', 'feasibility', 'first'], 'first')
(['desk', 'supportive', 'investment', 'sequence'], 'investment')
(['around', 'strengthen', 'block', 'institutional'], 'around')
(['indicators', 'professor', 'kong', 'harvard'], 'indicators')
(['each', 'realize', 'purchasing', 'glossary'], 'each')
(['year', 'dog', 'reporting', 'single'], 'reporting')
(['ensures', 'step', 'china', 'document'], 'china')
(['income', 'model', 'islamic', 'low'], 'model')
(['actions', 'proposed', 'martin', 'term'], 'martin')
(['executives', 'minister', 'measures', 'fellow'], 'measures')
(['territories', 'eight', 'function', 'several'], 'function')
(['sea', 'earlier', 'encounters', 'monitoring'], 'monitoring')
(['domestic', 'donor', 'pathways', 'bodies'], 'pathways')
(['universities', 'stage', 'step', 'terms'], 'universities')
(['promotes', 'read', 'integration', 'glossary'], 'integration')
(['envenoming', 'november', 'outcomes', 'december'], 'outcomes')
(['allocation', 'incentives', 'akeyo', 'testing'], 'akeyo')
(['proprietary', 'engagement', 'names', 'excepted'], 'engagement')
(['actors', 'agencies', 'every', 'vendors'], 'every')
(['compliance', 'frameworks', 'edition', 'legislation'], 'edition')
(['translation', 'including', 'creative', 'you'], 'including')
(['explore', 'gaps', 'readiness', 'ministry'], 'ministry')
(['providers', 'identifiers', 'three', 'administrators'], 'three')
(['donation', 'mention', 'ment', 'management'], 'management')
(['funds', 'incentive', 'link', 'mobilize'], 'link')
(['months', 'three', 'devices', 'split'], 'devices')
(['may', 'vpd', 'tetanus', 'virus'], 'may')
(['produce', 'stage', 'child', 'section'], 'child')
(['refining', 'line', 'low', 'lines'], 'low')
(['should', 'diagnosis', 'ordering', 'referrals'], 'should')
(['yaws', 'alternative', 'cities', 'ideas'], 'yaws')
(['veterinary', 'sanitation', 'input', 'hygiene'], 'input')
(['document', 'across', 'methodology', 'shape'], 'across')
(['persons', 'animals', 'establishing', 'comorbidities'], 'establishing')
(['school', 'chapters', 'sample', 'figure'], 'school')
(['villagereach', 'openwho', 'defined', 'website'], 'defined')
(['cold', 'chain', 'storage', 'reflect'], 'reflect')
(['preparedness', 'crisis', 'derived', 'emergency'], 'derived')
(['implementations', 'committee', 'channel', 'interoperable'], 'committee')
(['produced', 'achievements', 'computing', 'effect'], 'computing')
(['shortages', 'efficiency', 'publication', 'nation'], 'publication')
(['capability', 'organizational', 'culture', 'third'], 'third')
(['area', 'intensification', 'cpie', 'purchasing'], 'area')
(['kala', 'azar', 'identified', 'schistosomiasis'], 'identified')
(['considered', 'done', 'others', 'western'], 'western')
(['understood', 'views', 'assessing', 'influencers'], 'assessing')
(['may', 'indigenous', 'sars', 'historically'], 'may')
(['chws', 'outreach', 'registry', 'development'], 'development')
(['nation', 'visceral', 'schistosomiasis', 'echinococcosis'], 'nation')
(['legal', 'targeting', 'adults', 'adult'], 'legal')
(['neglected', 'zoonoses', 'defining', 'combat'], 'defining')
(['completion', 'epidemic', 'output', 'proportion'], 'output')
(['visceral', 'vision', 'echinococcosis', 'transmitted'], 'vision')
(['hiv', 'main', 'ncd', 'malaria'], 'main')
(['speaker', 'funding', 'sciences', 'respectively'], 'funding')
(['visionchapter', 'definition', 'trypanosomiasis', 'page'], 'trypanosomiasis')
(['endorse', 'recommendation', 'objectives', 'wealth'], 'wealth')
(['plans', 'eumycetoma', 'inequality', 'forces'], 'plans')
(['such', 'over', 'amount', 'past'], 'such')
(['evaluated', 'achieved', 'institutions', 'measured'], 'institutions')
(['chemotherapy', 'least', 'function', 'dalys'], 'function')
(['phd', 'serious', 'identifying', 'schools'], 'identifying')
(['images', 'vision', 'referrals', 'ehrs'], 'vision')
(['shortages', 'efficiency', 'was', 'nation'], 'was')
(['could', 'helps', 'yaws', 'will'], 'yaws')
(['preventive', 'schistosomiasis', 'soil', 'determine'], 'determine')
(['reasonable', 'phasesengage', 'requirementsde', 'select'], 'reasonable')
(['ministry', 'practical', 'oversight', 'sound'], 'ministry')
(['approve', 'heal', 'disseminate', 'government'], 'government')
(['adverse', 'creates', 'realize', 'tomorrow'], 'adverse')
(['maps', 'address', 'dashed', 'frontiers'], 'address')
(['economist', 'chief', 'founding', 'likely'], 'likely')
(['shaping', 'plandevelop', 'about', 'alternative'], 'plandevelop')
(['harvard', 'questions', 'economy', 'participate'], 'questions')
(['participatory', 'yes', 'kristin', 'peter'], 'yes')
(['substantial', 'outcome', 'resulted', 'handset'], 'outcome')
(['visionchapter', 'african', 'page', 'box'], 'african')
(['confidentiality', 'integrity', 'privacy', 'articulated'], 'articulated')
(['loss', 'substantially', 'initial', 'consequently'], 'initial')
(['treated', 'infection', 'persons', 'establishing'], 'establishing')
(['possible', 'federation', 'kingdom', 'pheic'], 'possible')
(['intended', 'explored', 'prevention', 'identified'], 'prevention')
(['confidentiality', 'big', 'analytics', 'funding'], 'funding')
(['structures', 'screening', 'mechanisms', 'functions'], 'screening')
(['equality', 'sociocultural', 'equity', 'into'], 'into')
(['ehealth', 'esanjeevaniopd', 'para', 'check'], 'ehealth')
(['mentioned', 'nature', 'universal', 'preference'], 'universal')
(['understanding', 'remaining', 'double', 'indigenous'], 'understanding')
(['noncommunicable', 'necessary', 'communicable', 'borne'], 'necessary')
(['capability', 'although', 'institutional', 'synergies'], 'although')
(['stage', 'focuses', 'requires', 'increase'], 'increase')
(['periods', 'refining', 'rights', 'starting'], 'rights')
(['privacy', 'year', 'analytics', 'integrity'], 'year')
(['contained', 'publication', 'principles', 'precautions'], 'principles')
(['sections', 'evaluated', 'exploration', 'awareness'], 'awareness')
(['vulnerable', 'encounters', 'chikungunya', 'focuses'], 'focuses')
(['promotes', 'disseminate', 'challenges', 'heal'], 'challenges')
(['across', 'scabies', 'particular', 'link'], 'scabies')
(['transmitted', 'soil', 'will', 'trematodiases'], 'will')
(['process', 'telephone', 'consequently', 'fundamental'], 'process')
(['major', 'social', 'tools', 'growth'], 'tools')
(['pipeline', 'delhi', 'york', 'reporting'], 'reporting')
(['face', 'accelerated', 'adjust', 'propose'], 'face')
(['seamless', 'conference', 'delivering', 'digitally'], 'delivering')
(['perspective', 'understood', 'communicated', 'control'], 'control')
(['requests', 'incentives', 'solution', 'investment'], 'requests')
(['lessons', 'transition', 'practices', 'but'], 'but')
(['amenable', 'delayed', 'evaluated', 'incentives'], 'incentives')
(['considered', 'records', 'registries', 'ehrs'], 'considered')
(['costa', 'market', 'workshop', 'amenable'], 'market')
(['reflect', 'tests', 'diagnostics', 'tpp'], 'reflect')
(['developing', 'constrain', 'incremental', 'topics'], 'developing')
(['vector', 'unique', 'providers', 'identifiers'], 'vector')
(['convened', 'numerous', 'transport', 'determined'], 'convened')
(['repurposed', 'manner', 'united', 'basis'], 'united')
(['what', 'cysticercosis', 'foodborne', 'soil'], 'what')
(['box', 'examples', 'american', 'description'], 'american')
(['clarifying', 'estimating', 'well', 'validate'], 'well')
(['identified', 'champion', 'ethics', 'stimulate'], 'identified')
(['triggered', 'restrictions', 'develop', 'epidemic'], 'develop')
(['consequently', 'telephone', 'identifying', 'fundamental'], 'identifying')
(['requirementsde', 'f_ine', 'technology', 'consultative'], 'technology')
(['malawi', 'environment', 'equatorial', 'uganda'], 'environment')
(['utilization', 'affordability', 'poses', 'its'], 'its')
(['documents', 'item', 'provider', 'interim'], 'provider')
(['top', 'estimation', 'down', 'future'], 'future')
(['requirements', 'john', 'professor', 'chief'], 'requirements')
(['select', 'accelerated', 'telemedecine', 'toolkit'], 'toolkit')
(['poor', 'approached', 'internal', 'consultation'], 'poor')
(['animals', 'comorbidities', 'persons', 'draft'], 'draft')
(['accelerated', 'data', 'validate', 'builds'], 'data')
(['positioned', 'develop', 'looking', 'expectations'], 'develop')
(['coordination', 'partnerships', 'facing', 'synergies'], 'facing')
(['therapeutics', 'competencies', 'interoperable', 'considered'], 'considered')
(['secured', 'completion', 'should', 'lmics'], 'should')
(['achieved', 'measured', 'capacities', 'evaluated'], 'capacities')
(['describes', 'website', 'defines', 'refines'], 'website')
(['rifampicin', 'rapid', 'formulations', 'may'], 'may')
(['ecosystem', 'interoperable', 'scaling', 'adolescents'], 'adolescents')
(['crisis', 'caused', 'disruptions', 'supporting'], 'supporting')
(['performance', 'economist', 'keynote', 'parenthood'], 'performance')
(['america', 'edition', 'groups', 'serving'], 'groups')
(['develop', 'agreement', 'conversely', 'transport'], 'develop')
(['page', 'increasing', 'poor', 'living'], 'page')
(['fellow', 'professor', 'agreed', 'hong'], 'agreed')
(['outputs', 'institute', 'kingdom', 'asian'], 'outputs')
(['pandemic', 'despite', 'assist', 'caused'], 'assist')
(['tablets', 'optional', 'best', 'trends'], 'tablets')
(['referrals', 'virus', 'identified', 'ulcer'], 'identified')
(['living', 'final', 'hard', 'populations'], 'final')
(['developing', 'researchers', 'midwives', 'tele'], 'developing')
(['specialist', 'researchers', 'refined', 'doctors'], 'refined')
